name,categories,score,release_date,duration,description,url,timestamp
素媛 - 소원,剧情,8.8,N/A,N/A,N/A,https://ssr1.scrape.center/detail/42,2024-10-18 16:59:59
小鞋子 - بچههای آسمان,"剧情, 家庭",8.8,N/A,N/A,N/A,https://ssr1.scrape.center/detail/43,2024-10-18 17:00:01
熔炉 - 도가니,剧情,8.8,N/A,N/A,N/A,https://ssr1.scrape.center/detail/44,2024-10-18 17:00:02
大话西游之大圣娶亲 - A Chinese Odyssey Part Two - Cinderella,"喜剧, 爱情, 奇幻",8.9,N/A,N/A,N/A,https://ssr1.scrape.center/detail/45,2024-10-18 17:00:04
新龙门客栈 - New Dragon Gate Inn,"动作, 爱情, 武侠, 古装",8.9,N/A,N/A,N/A,https://ssr1.scrape.center/detail/46,2024-10-18 17:00:06
触不可及 - Intouchables,"剧情, 喜剧",8.9,N/A,N/A,N/A,https://ssr1.scrape.center/detail/47,2024-10-18 17:00:07
钢琴家 - The Pianist,"剧情, 音乐, 传记, 历史, 战争",8.9,N/A,N/A,N/A,https://ssr1.scrape.center/detail/48,2024-10-18 17:00:08
本杰明·巴顿奇事 - The Curious Case of Benjamin Button,"剧情, 爱情, 奇幻",8.9,N/A,N/A,N/A,https://ssr1.scrape.center/detail/49,2024-10-18 17:00:11
倩女幽魂 - A Chinese Ghost Story,"爱情, 奇幻, 武侠, 古装",8.9,N/A,N/A,N/A,https://ssr1.scrape.center/detail/50,2024-10-18 17:00:12
哈利·波特与死亡圣器（下） - Harry Potter and the Deathly Hallows: Part 2,"剧情, 悬疑, 奇幻, 冒险",8.9,N/A,N/A,N/A,https://ssr1.scrape.center/detail/51,2024-10-18 17:00:16
甜蜜蜜 - Comrades: Almost a Love Story,"剧情, 爱情",8.9,N/A,N/A,N/A,https://ssr1.scrape.center/detail/52,2024-10-18 17:00:18
蝙蝠侠：黑暗骑士崛起 - The Dark Knight Rises,"剧情, 动作, 科幻, 惊悚, 犯罪",8.9,N/A,N/A,N/A,https://ssr1.scrape.center/detail/53,2024-10-18 17:00:21
鬼子来了 - Devils on the Doorstep,"剧情, 战争",8.8,N/A,N/A,N/A,https://ssr1.scrape.center/detail/54,2024-10-18 17:00:22
无敌破坏王 - Wreck-It Ralph,"喜剧, 动画, 奇幻, 冒险",8.8,N/A,N/A,N/A,https://ssr1.scrape.center/detail/55,2024-10-18 17:00:24
致命魔术 - The Prestige,"剧情, 悬疑, 惊悚",8.8,N/A,N/A,N/A,https://ssr1.scrape.center/detail/56,2024-10-18 17:00:25
神偷奶爸 - Despicable Me,"喜剧, 动画, 冒险",8.8,N/A,N/A,N/A,https://ssr1.scrape.center/detail/57,2024-10-18 17:00:27
断背山 - Brokeback Mountain,"剧情, 爱情, 家庭",8.8,N/A,N/A,N/A,https://ssr1.scrape.center/detail/58,2024-10-18 17:00:29
怦然心动 - Flipped,"剧情, 喜剧, 爱情",8.8,N/A,N/A,N/A,https://ssr1.scrape.center/detail/59,2024-10-18 17:00:30
